,000000000f4919c9events,000000000f4919c9places,0000000019fb59c4events,0000000019fb59c4places,00000000342570c2events,00000000342570c2places,0000000038bf9618events,0000000038bf9618places,0000000038d83d41events,0000000038d83d41places,0000000053c6c2beevents,0000000053c6c2beplaces,000000006b087f40events,000000006b087f40places,000000007b5207b6events,000000007b5207b6places,00000000a53ed894events,00000000a53ed894places,00000000aa852af1events,00000000aa852af1places,00000000afef4555events,00000000afef4555places,00000000fb7600beevents,00000000fb7600beplaces,00000000fdda10feevents,00000000fdda10feplaces,00000000fffb8cf0events,00000000fffb8cf0places
92,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
93,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
94,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
95,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
96,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
97,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
98,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
99,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
100,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
101,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
102,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
103,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
104,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
105,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
106,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
107,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
108,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
109,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
110,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
111,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
112,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
113,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
114,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
115,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
116,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
117,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
118,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
119,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
120,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
121,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
122,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
123,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
124,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
125,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
126,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
127,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
128,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
129,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
130,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
131,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
132,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
133,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
134,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
135,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
136,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
137,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
138,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
139,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
140,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
141,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
142,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
143,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
144,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
145,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
146,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
147,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
148,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
149,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
150,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
151,11,0,0,0,0,0,0,0,8,0,0,0,12,0,4,0,0,0,10,0,13,0,8,0,13,0,2,0
