,time,0000000006dd41f6,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,000000004ef3150d,0000000053c6c2be,00000000675d5200,000000006b087f40,000000006b44cce7,0000000074f765a7,000000007b5207b6,0000000096918cfa,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000b33a8357,00000000cd16b8ef,00000000d747f075,00000000e8a064a4,00000000f1124bca,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
70,2019-08-10 02:20:00,6,0,0,6,2,7,0,2,2,6,37,0,3,0,26,4,5,0,0,0,2,0,9,16,2
71,2019-08-10 02:22:00,4,0,1,6,2,10,0,3,1,11,31,0,4,0,28,5,5,0,0,0,2,0,6,14,2
72,2019-08-10 02:24:00,4,0,1,7,0,9,0,2,0,13,29,0,4,0,27,6,5,0,0,0,2,0,10,13,2
73,2019-08-10 02:26:00,4,0,0,6,0,9,0,3,3,6,42,0,1,0,27,6,3,0,0,0,2,0,9,18,2
74,2019-08-10 02:28:00,4,0,0,5,0,8,0,2,2,5,34,0,3,0,27,6,5,0,0,0,2,0,8,12,2
75,2019-08-10 02:30:00,5,0,3,7,1,8,0,3,1,8,39,0,4,0,26,6,3,0,0,0,2,0,10,17,2
76,2019-08-10 02:32:00,5,0,1,6,0,9,0,3,0,5,33,0,4,0,29,6,4,0,0,0,2,0,9,16,2
77,2019-08-10 02:34:00,4,0,1,6,0,9,0,2,5,6,39,0,0,0,28,5,5,0,0,0,3,0,9,17,2
78,2019-08-10 02:36:00,5,0,0,6,0,9,0,2,0,5,31,0,4,0,27,8,3,0,0,0,2,0,6,20,2
79,2019-08-10 02:38:00,3,0,0,6,0,11,0,2,0,7,31,0,4,0,27,5,3,0,0,0,2,0,12,17,2
80,2019-08-10 02:40:00,6,0,1,5,0,9,0,2,0,5,33,0,4,0,27,5,3,0,0,0,2,0,8,16,2
81,2019-08-10 02:42:00,3,0,0,7,0,10,0,2,4,7,32,0,0,0,24,7,6,0,0,0,2,0,8,13,2
82,2019-08-10 02:44:00,5,0,0,6,0,8,0,2,1,5,37,0,3,0,27,6,4,0,0,0,2,0,8,15,2
83,2019-08-10 02:46:00,4,0,0,6,0,8,0,3,0,5,33,0,4,0,27,9,2,0,0,0,2,0,8,15,2
84,2019-08-10 02:48:00,3,0,2,6,2,10,0,2,0,11,30,0,4,0,28,6,2,0,0,0,1,0,9,12,2
85,2019-08-10 02:50:00,3,0,0,7,0,8,0,3,4,3,32,0,0,0,28,7,3,0,0,0,2,0,12,18,2
86,2019-08-10 02:52:00,3,0,0,6,0,9,0,2,0,6,34,0,4,0,27,6,3,0,0,0,2,0,10,14,4
