,time,variable,value
175,13/8/2019 15:30,0000000006dd41f6,10
176,13/8/2019 16:00,0000000006dd41f6,10
177,13/8/2019 16:30,0000000006dd41f6,11
178,13/8/2019 17:00,0000000006dd41f6,9
179,13/8/2019 17:30,0000000006dd41f6,12
180,13/8/2019 18:00,0000000006dd41f6,14
181,13/8/2019 18:30,0000000006dd41f6,14
182,13/8/2019 19:00,0000000006dd41f6,13
183,13/8/2019 19:30,0000000006dd41f6,12
184,13/8/2019 20:00,0000000006dd41f6,16
185,13/8/2019 20:30,0000000006dd41f6,10
186,13/8/2019 21:00,0000000006dd41f6,32
187,13/8/2019 21:30,0000000006dd41f6,7
188,13/8/2019 22:00,0000000006dd41f6,14
189,13/8/2019 22:30,0000000006dd41f6,13
190,13/8/2019 23:00,0000000006dd41f6,12
191,13/8/2019 23:30,0000000006dd41f6,13
192,14/8/2019 0:00,0000000006dd41f6,12
193,14/8/2019 0:30,0000000006dd41f6,13
194,14/8/2019 1:00,0000000006dd41f6,14
195,14/8/2019 1:30,0000000006dd41f6,11
196,14/8/2019 2:00,0000000006dd41f6,12
197,14/8/2019 2:30,0000000006dd41f6,12
198,14/8/2019 3:00,0000000006dd41f6,15
199,14/8/2019 3:30,0000000006dd41f6,12
200,14/8/2019 4:00,0000000006dd41f6,13
201,14/8/2019 4:30,0000000006dd41f6,13
202,14/8/2019 5:00,0000000006dd41f6,13
203,14/8/2019 5:30,0000000006dd41f6,8
204,14/8/2019 6:00,0000000006dd41f6,11
205,14/8/2019 6:30,0000000006dd41f6,13
206,14/8/2019 7:00,0000000006dd41f6,53
207,14/8/2019 7:30,0000000006dd41f6,198
208,14/8/2019 8:00,0000000006dd41f6,232
209,14/8/2019 8:30,0000000006dd41f6,171
210,14/8/2019 9:00,0000000006dd41f6,259
211,14/8/2019 9:30,0000000006dd41f6,245
212,14/8/2019 10:00,0000000006dd41f6,260
213,14/8/2019 10:30,0000000006dd41f6,255
214,14/8/2019 11:00,0000000006dd41f6,271
215,14/8/2019 11:30,0000000006dd41f6,207
216,14/8/2019 12:00,0000000006dd41f6,274
217,14/8/2019 12:30,0000000006dd41f6,249
218,14/8/2019 13:00,0000000006dd41f6,240
219,14/8/2019 13:30,0000000006dd41f6,223
220,14/8/2019 14:00,0000000006dd41f6,224
221,14/8/2019 14:30,0000000006dd41f6,241
222,14/8/2019 15:00,0000000006dd41f6,8
223,14/8/2019 15:30,0000000006dd41f6,5
224,14/8/2019 16:00,0000000006dd41f6,9
225,14/8/2019 16:30,0000000006dd41f6,10
226,14/8/2019 17:00,0000000006dd41f6,8
227,14/8/2019 17:30,0000000006dd41f6,7
228,14/8/2019 18:00,0000000006dd41f6,8
229,14/8/2019 18:30,0000000006dd41f6,11
230,14/8/2019 19:00,0000000006dd41f6,6
231,14/8/2019 19:30,0000000006dd41f6,2
232,14/8/2019 20:00,0000000006dd41f6,3
233,14/8/2019 20:30,0000000006dd41f6,3
234,14/8/2019 21:00,0000000006dd41f6,5
235,14/8/2019 21:30,0000000006dd41f6,6
236,14/8/2019 22:00,0000000006dd41f6,6
237,14/8/2019 22:30,0000000006dd41f6,6
238,14/8/2019 23:00,0000000006dd41f6,5
239,14/8/2019 23:30,0000000006dd41f6,8
240,15/8/2019 0:00,0000000006dd41f6,6
241,15/8/2019 0:30,0000000006dd41f6,8
242,15/8/2019 1:00,0000000006dd41f6,6
243,15/8/2019 1:30,0000000006dd41f6,9
244,15/8/2019 2:00,0000000006dd41f6,6
245,15/8/2019 2:30,0000000006dd41f6,87
246,15/8/2019 3:00,0000000006dd41f6,164
247,15/8/2019 3:30,0000000006dd41f6,147
248,15/8/2019 4:00,0000000006dd41f6,126
249,15/8/2019 4:30,0000000006dd41f6,145
250,15/8/2019 5:00,0000000006dd41f6,144
251,15/8/2019 5:30,0000000006dd41f6,163
252,15/8/2019 6:00,0000000006dd41f6,154
253,15/8/2019 6:30,0000000006dd41f6,144
254,15/8/2019 7:00,0000000006dd41f6,140
255,15/8/2019 7:30,0000000006dd41f6,128
256,15/8/2019 8:00,0000000006dd41f6,118
257,15/8/2019 8:30,0000000006dd41f6,133
258,15/8/2019 9:00,0000000006dd41f6,107
259,15/8/2019 9:30,0000000006dd41f6,120
260,15/8/2019 10:00,0000000006dd41f6,142
261,15/8/2019 10:30,0000000006dd41f6,122
262,15/8/2019 11:00,0000000006dd41f6,133
263,15/8/2019 11:30,0000000006dd41f6,105
264,15/8/2019 12:00,0000000006dd41f6,138
265,15/8/2019 12:30,0000000006dd41f6,135
266,15/8/2019 13:00,0000000006dd41f6,146
267,15/8/2019 13:30,0000000006dd41f6,150
268,15/8/2019 14:00,0000000006dd41f6,60
269,15/8/2019 14:30,0000000006dd41f6,2
270,15/8/2019 15:00,0000000006dd41f6,8
271,15/8/2019 15:30,0000000006dd41f6,7
272,15/8/2019 16:00,0000000006dd41f6,30
273,15/8/2019 16:30,0000000006dd41f6,7
274,15/8/2019 17:00,0000000006dd41f6,7
275,15/8/2019 17:30,0000000006dd41f6,4
276,15/8/2019 18:00,0000000006dd41f6,8
277,15/8/2019 18:30,0000000006dd41f6,6
278,15/8/2019 19:00,0000000006dd41f6,5
279,15/8/2019 19:30,0000000006dd41f6,5
280,15/8/2019 20:00,0000000006dd41f6,5
281,15/8/2019 20:30,0000000006dd41f6,8
282,15/8/2019 21:00,0000000006dd41f6,9
283,15/8/2019 21:30,0000000006dd41f6,8
284,15/8/2019 22:00,0000000006dd41f6,11
285,15/8/2019 22:30,0000000006dd41f6,10
286,15/8/2019 23:00,0000000006dd41f6,12
287,15/8/2019 23:30,0000000006dd41f6,11
288,16/8/2019 0:00,0000000006dd41f6,7
